Date,HKDCNY
2011-10-05,1.221005569
2011-10-06,1.220053308
2011-10-07,1.220754569
2011-10-10,1.220660444
2011-10-11,1.220566319
2011-10-12,1.223466499
2011-10-13,1.218630523
2011-10-14,1.219410474
2011-10-17,1.221053458
2011-10-18,1.218936117
2011-10-19,1.219416958
2011-10-20,1.218848414
2011-10-21,1.219199975
2011-10-24,1.220177585
2011-10-25,1.222246679
2011-10-26,1.223486637
2011-10-27,1.221811606
2011-10-28,1.221236432
2011-10-31,1.221788597
2011-11-01,1.222984563
2011-11-02,1.222722266
2011-11-03,1.223308614
2011-11-04,1.22522082
2011-11-07,1.223830753
2011-11-08,1.224165642
2011-11-09,1.225658901
2011-11-10,1.22632143
2011-11-11,1.22551382
2011-11-14,1.224707253
2011-11-15,1.226191227
2011-11-16,1.226810623
2011-11-17,1.225887725
2011-11-18,1.225202549
2011-11-21,1.224612047
2011-11-22,1.224856536
2011-11-23,1.225934315
2011-11-24,1.223892666
2011-11-25,1.221858249
2011-11-28,1.220758471
2011-11-29,1.221957377
2011-11-30,1.219007292
2011-12-01,1.220563978
2011-12-02,1.221397572
2011-12-05,1.221062723
2011-12-06,1.221195695
2011-12-07,1.221300399
2011-12-08,1.22224842
2011-12-09,1.222749485
2011-12-12,1.223665178
2011-12-13,1.221829437
2011-12-14,1.221770523
2011-12-15,1.220796134
2011-12-16,1.22629531
2011-12-19,1.228398763
2011-12-20,1.226350872
2011-12-21,1.227605465
2011-12-22,1.227552373
2011-12-23,1.227195253
2011-12-26,1.228719958
2011-12-27,1.230248378
2011-12-28,1.229627755
2011-12-29,1.230078972
2011-12-30,1.2339408
2012-01-02,1.233986606
2012-01-03,1.234032412
2012-01-04,1.234076357
2012-01-05,1.232285401
2012-01-06,1.230883845
2012-01-09,1.22990672
2012-01-10,1.229898164
2012-01-11,1.229837369
2012-01-12,1.229418934
2012-01-13,1.231618172
2012-01-16,1.230766793
2012-01-17,1.229916371
2012-01-18,1.229745361
2012-01-19,1.228523479
2012-01-20,1.225453971
2012-01-23,1.225264488
2012-01-24,1.225296068
2012-01-25,1.22537502
2012-01-26,1.224727617
2012-01-27,1.22434865
2012-01-30,1.225035539
2012-01-31,1.229470514
2012-02-01,1.22950092
2012-02-02,1.230636178
2012-02-03,1.230250528
2012-02-06,1.228453739
2012-02-07,1.229800463
2012-02-08,1.231894881
2012-02-09,1.232131793
2012-02-10,1.231112381
2012-02-13,1.231261513
2012-02-14,1.230954838
2012-02-15,1.230705737
2012-02-16,1.230488463
2012-02-17,1.231007383
2012-02-20,1.231323197
2012-02-21,1.231639136
2012-02-22,1.231734435
2012-02-23,1.231422674
2012-02-24,1.231230945
2012-02-27,1.230702088
2012-02-28,1.231167347
2012-02-29,1.232239612
2012-03-01,1.230948715
2012-03-02,1.231859896
2012-03-05,1.230885104
2012-03-06,1.230699724
2012-03-07,1.230423
2012-03-08,1.227901012
2012-03-09,1.228937236
2012-03-12,1.226485188
2012-03-13,1.226456549
2012-03-14,1.225839059
2012-03-15,1.226446699
2012-03-16,1.22773718
2012-03-19,1.228386954
2012-03-20,1.228185371
2012-03-21,1.228039098
2012-03-22,1.232767106
2012-03-23,1.232573269
2012-03-26,1.230238046
2012-03-27,1.231109561
2012-03-28,1.231647738
2012-03-29,1.231298666
2012-03-30,1.233124256
2012-04-02,1.233109449
2012-04-03,1.23302898
2012-04-04,1.2330131
2012-04-05,1.23002709
2012-04-06,1.231523187
2012-04-09,1.23066561
2012-04-10,1.230473021
2012-04-11,1.231038747
2012-04-12,1.231000967
2012-04-13,1.231125639
2012-04-16,1.228503563
2012-04-17,1.231294136
2012-04-18,1.2313807
2012-04-19,1.231671136
2012-04-20,1.230294864
2012-04-23,1.230375373
2012-04-24,1.230241149
2012-04-25,1.230983994
2012-04-26,1.230627716
2012-04-27,1.229835322
2012-04-30,1.235658544
2012-05-01,1.22973894
2012-05-02,1.230141113
2012-05-03,1.230587452
2012-05-04,1.230720436
2012-05-07,1.230808257
2012-05-08,1.230610692
2012-05-09,1.2304425
2012-05-10,1.229600887
2012-05-11,1.230835063
2012-05-14,1.22865053
2012-05-15,1.229612511
2012-05-16,1.228683948
2012-05-17,1.228500957
2012-05-18,1.228128706
2012-05-21,1.227096733
2012-05-22,1.228223906
2012-05-23,1.225739229
2012-05-24,1.223659947
2012-05-25,1.22367944
2012-05-28,1.223374331
2012-05-29,1.22306941
2012-05-30,1.221678674
2012-05-31,1.218767665
2012-06-01,1.218410475
2012-06-04,1.21907261
2012-06-05,1.218595885
2012-06-06,1.219128139
2012-06-07,1.219190999
2012-06-08,1.217927786
2012-06-11,1.218385932
2012-06-12,1.218043106
2012-06-13,1.218340269
2012-06-14,1.218046529
2012-06-15,1.218935097
2012-06-18,1.221061081
2012-06-19,1.221097857
2012-06-20,1.220026102
2012-06-21,1.21936082
2012-06-22,1.219439382
2012-06-25,1.219594223
2012-06-26,1.219470028
2012-06-27,1.220622709
2012-06-28,1.220544282
2012-06-29,1.221029435
2012-07-02,1.221950951
2012-07-03,1.220737102
2012-07-04,1.220403538
2012-07-05,1.220070173
2012-07-06,1.218447517
2012-07-09,1.217190664
2012-07-10,1.218210953
2012-07-11,1.217643918
2012-07-12,1.217253499
2012-07-13,1.216040383
2012-07-16,1.216104352
2012-07-17,1.217230286
2012-07-18,1.21775789
2012-07-19,1.217076769
2012-07-20,1.217089779
2012-07-23,1.214811451
2012-07-24,1.214902047
2012-07-25,1.214436669
2012-07-26,1.215338586
2012-07-27,1.215681665
2012-07-30,1.215716704
2012-07-31,1.218959283
2012-08-01,1.217823492
2012-08-02,1.217869988
2012-08-03,1.217055602
2012-08-06,1.21677806
2012-08-07,1.21809814
2012-08-08,1.219257978
2012-08-09,1.219836739
2012-08-10,1.219657542
2012-08-13,1.219427458
2012-08-14,1.219922624
2012-08-15,1.219352709
2012-08-16,1.218523697
2012-08-17,1.220053476
2012-08-20,1.219854699
2012-08-21,1.22044085
2012-08-22,1.221207589
2012-08-23,1.220807429
2012-08-24,1.220720154
2012-08-27,1.220302716
2012-08-28,1.220983865
2012-08-29,1.221120086
2012-08-30,1.221564242
2012-08-31,1.221725159
2012-09-03,1.221939519
2012-09-04,1.222153943
2012-09-05,1.2217707
2012-09-06,1.222929936
2012-09-07,1.222740745
2012-09-10,1.223684418
2012-09-11,1.224107721
2012-09-12,1.225842146
2012-09-13,1.225155623
2012-09-14,1.22749228
2012-09-17,1.227117303
2012-09-18,1.226882112
2012-09-19,1.228844051
2012-09-20,1.22996383
2012-09-21,1.229591918
2012-09-24,1.228879379
2012-09-25,1.229570072
2012-09-26,1.230500674
2012-09-27,1.23033592
2012-09-28,1.233770367
2012-10-01,1.233975175
2012-10-02,1.234007002
2012-10-03,1.234070656
2012-10-04,1.234022915
2012-10-05,1.23362508
2012-10-08,1.233262009
2012-10-09,1.232899152
2012-10-10,1.233865449
2012-10-11,1.235131044
2012-10-12,1.236923568
2012-10-15,1.236172249
2012-10-16,1.237479445
2012-10-17,1.239446754
